lastName,firstName,country,univ
Ahmad,Muhammad Ovais,Sweden,Karlstad University
Bagnato,Alessandra,France,Softeam
Barata,João,Portugal,University of Coimbra
Behutiye,Woubshet,Finland,University of Oulu
Buchalcevova,Alena,Czechia,University of Economics
Buchmann,Robert Andrei,Romania,Babeș-Bolyai University of Cluj Napoca
Chmielarz,Witold,Poland,University of Warsaw
Coady,Jenny,United Kingdom,Heriot-Watt University
Daase,Christian,Germany,Otto von Guericke University Magdeburg
Derezinska,Anna,Poland,Warsaw University of Technology
Dutta,Arpita,Singapore,National University of Singapore
Farré,Carles,Spain,Universitat Politècnica de Catalunya
Farshchian,Babak A.,Norway,Norwegian University of Science and Technology
Francillette,Yannick,Canada,UQAC
Gregory,Peggy,United Kingdom,University of Glasgow
Guerra,Eduardo,Brazil,Free University of Bolzen-Bolzano
Gustavsson,Tomas,Sweden,Karlstads universitet
Haertel,Christian,Germany,Otto-von-Guericke-University
Hanslo,Ridewaan,South Africa,University of Cape Town
Heng,Samedi,Belgium,UCLouvain
Herda,Tomas,Austria,Austrian Post
Hryniów,Krzysztof,Poland,Warsaw University of Technology
Janes,Andrea,Italy,Free University of Bozen-Bolzano
Jarzebowicz,Aleksander,Poland,Gdansk University of Technology
Kapitsaki,Georgia,Cyprus,University of Cyprus
Katic,Marija,Serbia,"School of Computing, Union University"
Kopczyńska,Sylwia,Poland,Poznan University of Technology
Kropp,Martin,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland
Kucharska,Wioleta,Poland,Gdansk University of Technology
Kucharski,Maciej,Poland,Gdańsk University of Technology
Lopez,Lidia,Spain,Universitat Politècnica de Catalunya
Luković,Ivan,Serbia,University of Belgrade
Lunesu,Ilaria,Italy,University of Cagliari
Mangalaraj,George,United States,Western Illinois University
Marcinkowski,Bartosz,Poland,University of Gdansk
Marek,Krzysztof,Poland,Warsaw University of Technology
Maślankowski,Jacek,Poland,University of Gdańsk
Melegati,Jorge,Portugal,University of Porto
Miler,Jakub,Poland,Gdansk University of Technology
Mishra,Alok,Norway,Norwegian University of Science and Technology
Moalagh,Morteza,Norway,Norwegian University of Science and Technology
Mohapatra,Durga Prasad,India,"NIT, Rourkela"
Morales Trujillo,Miguel Ehécatl,New Zealand,University of Canterbury
Münch,Jürgen,Germany,Reutlingen University
Muszyńska,Karolina,Poland,University of Szczecin
Nasir,Usman,Sweden,Blekinge Institute of Technology
Nawrocki,Jerzy,Poland,Poznan University of Technology
Neumann,Michael,Germany,University of Applied Sciences and Arts Hannover
Ng,Yen Ying,Poland,Nicolaus Copernicus University in Toruń
Obwegeser,Nikolaus,Switzerland,Bern University of Applied Sciences
Ochodek,Mirosław,Poland,Poznan University of Technology
Özcan Top,Özden,Turkey,Middle East Technical University
Ozkan,Necmettin,Turkey,Gebze Technical University
Panigrahi,Rasmita,India,Giet University
Pereira,Rui Humberto,Portugal,ISCAP/IPP
Perkusich,Mirko,Brazil,VIRTUS
Pohl,Matthias,Germany,Otto-von-Guericke-Universität Magdeburg
Poniszewska-Maranda,Aneta,Poland,Lodz University of Technology
Poth,Alexander,Germany,Volkswagen AG
Przybylek,Michal,Poland,Warsaw University
Puthenpurackal Chakko,Joseph,India,Valuflow Research
Ramsin,Raman,Iran,Sharif University of Technology
Riel,Andreas,France,EMIRAcle c/o Grenoble Institute of Technology
Ristic,Sonja,Serbia,University of Novi Sad
Rossi,Bruno,Czechia,Masaryk University
Rybola,Zdenek,Czechia,Czech Technical University
Salin,Hannes,Sweden,Swedish Transport Administration
Sánchez-Gordón,Mary,Norway,Østfold University College
Senapathi,Mali,New Zealand,Auckland University of Technology
Silva,Alberto,Portugal,Universidade de Lisboa
Smialek,Michal,Poland,Warsaw University of Technology
Sołtysik-Piorunkiewicz,Anna,Poland,University of Economics in Katowice
Souza,Érica,Brazil,UTFPR
Spichkova,Maria,Australia,RMIT University
Staegemann,Daniel,Germany,Otto-von-Guericke University Magdeburg
Swacha,Jakub,Poland,University of Szczecin
Taweel,Adel,United Kingdom,King’s College London/Birzeit University
Theobald,Sven,Germany,Fraunhofer IESE
Thomaschewski,Jörg,Germany,University of Applied Sciences Emden/Leer
Tobisch,Franziska,Germany,TUM
Tsilionis,Konstantinos,Netherlands,Eindhoven University of Technology
Tuncel,Doruk,Germany,Siemens AG
Utz,Wilfrid,Germany,OMILAB gGmbH
Vara,Juan Manuel,Spain,Universidad Rey Juan Carlos
Vranić,Valentino,Slovakia,Pan-European University
Winter,Dominique,Germany,HS Emden/Leer
Wojnicka-Sycz,Elzbieta,Poland,University of Gdansk
Wysocki,Włodzimierz,Poland,West Pomeranian University of Technology Szczecin
Zhang,Zheying,Finland,Tampere University
Zieris,Franz,Sweden,Blekinge Institute of Technology
